Date,Balance,Account
2024-06-21,10402.60,Vanguard Trust 
2024-06-22,10402.60,Vanguard Trust 
2024-06-23,10402.60,Vanguard Trust 
2024-06-24,10402.60,Vanguard Trust 
2024-06-25,10402.60,Vanguard Trust 
2024-06-26,10402.60,Vanguard Trust 
2024-06-27,10402.60,Vanguard Trust 
2024-06-28,10402.60,Vanguard Trust 
2024-06-29,10402.60,Vanguard Trust 
2024-06-30,10403.56,Vanguard Trust 
2024-07-01,10447.77,Vanguard Trust 
2024-07-02,10447.77,Vanguard Trust 
2024-07-03,10447.77,Vanguard Trust 
2024-07-04,10447.77,Vanguard Trust 
2024-07-05,10447.77,Vanguard Trust 
2024-07-06,10447.77,Vanguard Trust 
2024-07-07,10447.77,Vanguard Trust 
2024-07-08,10447.77,Vanguard Trust 
2024-07-09,10447.77,Vanguard Trust 
2024-07-10,10447.77,Vanguard Trust 
2024-07-11,10447.77,Vanguard Trust 
2024-07-12,10447.77,Vanguard Trust 
2024-07-13,10447.77,Vanguard Trust 
2024-07-14,10447.77,Vanguard Trust 
2024-07-15,10447.77,Vanguard Trust 
2024-07-16,10447.77,Vanguard Trust 
2024-07-17,10447.77,Vanguard Trust 
2024-07-18,10447.77,Vanguard Trust 
2024-07-19,10447.77,Vanguard Trust 
2024-07-20,10447.77,Vanguard Trust 
2024-07-21,10447.77,Vanguard Trust 
2024-07-22,10447.77,Vanguard Trust 
2024-07-23,10447.77,Vanguard Trust 
2024-07-24,10447.77,Vanguard Trust 
2024-07-25,10447.77,Vanguard Trust 
2024-07-26,10447.77,Vanguard Trust 
2024-07-27,10447.77,Vanguard Trust 
2024-07-28,10447.77,Vanguard Trust 
2024-07-29,10447.77,Vanguard Trust 
2024-07-30,10447.77,Vanguard Trust 
2024-07-31,10447.77,Vanguard Trust 
2024-08-01,10447.77,Vanguard Trust 
2024-08-02,10494.63,Vanguard Trust 
2024-08-03,10494.63,Vanguard Trust 
2024-08-04,10494.63,Vanguard Trust 
2024-08-05,10494.63,Vanguard Trust 
2024-08-06,10494.63,Vanguard Trust 
2024-08-07,10494.63,Vanguard Trust 
2024-08-08,10494.63,Vanguard Trust 
2024-08-09,10494.63,Vanguard Trust 
2024-08-10,10494.63,Vanguard Trust 
2024-08-11,10494.63,Vanguard Trust 
2024-08-12,10494.63,Vanguard Trust 
2024-08-13,10494.63,Vanguard Trust 
2024-08-14,10494.63,Vanguard Trust 
2024-08-15,11319.63,Vanguard Trust 
2024-08-16,11319.63,Vanguard Trust 
2024-08-17,11319.63,Vanguard Trust 
2024-08-18,11319.63,Vanguard Trust 
2024-08-19,11319.63,Vanguard Trust 
2024-08-20,11319.63,Vanguard Trust 
2024-08-21,11319.63,Vanguard Trust 
2024-08-22,11319.63,Vanguard Trust 
2024-08-23,11319.63,Vanguard Trust 
2024-08-24,11319.63,Vanguard Trust 
2024-08-25,11319.63,Vanguard Trust 
2024-08-26,11319.63,Vanguard Trust 
2024-08-27,11319.63,Vanguard Trust 
2024-08-28,11319.63,Vanguard Trust 
2024-08-29,11319.63,Vanguard Trust 
2024-08-30,11319.63,Vanguard Trust 
2024-08-31,11323.30,Vanguard Trust 
2024-09-01,11323.30,Vanguard Trust 
2024-09-02,11323.30,Vanguard Trust 
2024-09-03,11323.30,Vanguard Trust 
2024-09-04,11368.74,Vanguard Trust 
2024-09-05,11368.74,Vanguard Trust 
2024-09-06,11368.74,Vanguard Trust 
2024-09-07,11368.74,Vanguard Trust 
2024-09-08,11368.74,Vanguard Trust 
2024-09-09,11368.74,Vanguard Trust 
2024-09-10,11368.74,Vanguard Trust 
2024-09-11,11368.74,Vanguard Trust 
2024-09-12,11368.74,Vanguard Trust 
2024-09-13,11368.74,Vanguard Trust 
2024-09-14,11368.74,Vanguard Trust 
2024-09-15,11368.74,Vanguard Trust 
2024-09-16,11368.74,Vanguard Trust 
2024-09-17,11368.74,Vanguard Trust 
2024-09-18,11368.74,Vanguard Trust 
2024-09-19,11368.74,Vanguard Trust 
2024-09-20,11368.74,Vanguard Trust 
2024-09-21,11368.74,Vanguard Trust 
2024-09-22,11368.74,Vanguard Trust 
2024-09-23,11368.74,Vanguard Trust 
2024-09-24,11368.74,Vanguard Trust 
2024-09-25,11368.74,Vanguard Trust 
2024-09-26,11368.74,Vanguard Trust 
2024-09-27,11368.74,Vanguard Trust 
2024-09-28,11368.74,Vanguard Trust 
2024-09-29,11368.74,Vanguard Trust 
2024-09-30,11368.74,Vanguard Trust 
2024-10-01,11368.74,Vanguard Trust 
2024-10-02,11416.71,Vanguard Trust 
2024-10-03,11416.71,Vanguard Trust 
2024-10-04,11416.71,Vanguard Trust 
2024-10-05,11416.71,Vanguard Trust 
2024-10-06,11416.71,Vanguard Trust 
2024-10-07,11416.71,Vanguard Trust 
2024-10-08,11416.71,Vanguard Trust 
2024-10-09,11416.71,Vanguard Trust 
2024-10-10,11416.71,Vanguard Trust 
2024-10-11,11416.71,Vanguard Trust 
2024-10-12,11416.71,Vanguard Trust 
2024-10-13,11416.71,Vanguard Trust 
2024-10-14,11416.71,Vanguard Trust 
2024-10-15,11416.71,Vanguard Trust 
2024-10-16,11416.71,Vanguard Trust 
2024-10-17,11416.71,Vanguard Trust 
2024-10-18,11416.71,Vanguard Trust 
2024-10-19,11416.71,Vanguard Trust 
2024-10-20,11416.71,Vanguard Trust 
2024-10-21,11416.71,Vanguard Trust 
2024-10-22,11416.71,Vanguard Trust 
2024-10-23,11416.71,Vanguard Trust 
2024-10-24,11416.71,Vanguard Trust 
2024-10-25,11416.71,Vanguard Trust 
2024-10-26,11416.71,Vanguard Trust 
2024-10-27,11416.71,Vanguard Trust 
2024-10-28,11416.71,Vanguard Trust 
2024-10-29,11416.71,Vanguard Trust 
2024-10-30,11416.71,Vanguard Trust 
2024-10-31,11416.71,Vanguard Trust 
2024-11-01,11463.54,Vanguard Trust 
2024-11-02,11421.75,Vanguard Trust 
2024-11-03,11463.54,Vanguard Trust 
2024-11-04,11463.54,Vanguard Trust 
2024-11-05,11463.54,Vanguard Trust 
2024-11-06,11463.54,Vanguard Trust 
2024-11-07,11463.54,Vanguard Trust 
2024-11-08,11463.54,Vanguard Trust 
2024-11-09,11463.54,Vanguard Trust 
2024-11-10,11463.54,Vanguard Trust 
2024-11-11,11463.54,Vanguard Trust 
2024-11-12,11463.54,Vanguard Trust 
2024-11-13,11463.54,Vanguard Trust 
2024-11-14,11463.54,Vanguard Trust 
2024-11-15,11463.54,Vanguard Trust 
2024-11-16,11463.54,Vanguard Trust 
2024-11-17,11463.54,Vanguard Trust 
2024-11-18,11463.54,Vanguard Trust 
2024-11-19,11463.54,Vanguard Trust 
2024-11-20,11463.54,Vanguard Trust 
2024-11-21,11463.54,Vanguard Trust 
2024-11-22,11463.54,Vanguard Trust 
2024-11-23,11463.54,Vanguard Trust 
2024-11-24,11463.54,Vanguard Trust 
2024-11-25,11463.54,Vanguard Trust 
2024-11-26,11463.54,Vanguard Trust 
2024-11-27,11463.54,Vanguard Trust 
2024-11-28,11463.54,Vanguard Trust 
2024-11-29,11463.54,Vanguard Trust 
2024-11-30,11463.54,Vanguard Trust 
2024-12-01,11468.42,Vanguard Trust 
2024-12-02,11506.96,Vanguard Trust 
2024-12-03,11506.96,Vanguard Trust 
2024-12-04,11506.96,Vanguard Trust 
2024-12-05,11506.96,Vanguard Trust 
2024-12-06,11506.96,Vanguard Trust 
2024-12-07,11506.96,Vanguard Trust 
2024-12-08,11506.96,Vanguard Trust 
2024-12-09,11506.96,Vanguard Trust 
2024-12-10,11506.96,Vanguard Trust 
2024-12-11,11506.96,Vanguard Trust 
2024-12-12,11506.96,Vanguard Trust 
2024-12-13,11506.96,Vanguard Trust 
2024-12-14,11506.96,Vanguard Trust 
2024-12-15,11506.96,Vanguard Trust 
2024-12-16,11506.96,Vanguard Trust 
2024-12-17,11506.96,Vanguard Trust 
2024-12-18,11506.96,Vanguard Trust 
2024-12-19,11506.96,Vanguard Trust 
2024-12-20,11506.96,Vanguard Trust 
2024-12-21,11506.96,Vanguard Trust 
2024-12-22,11506.96,Vanguard Trust 
2024-12-23,11506.96,Vanguard Trust 
2024-12-24,11506.96,Vanguard Trust 
2024-12-25,11506.96,Vanguard Trust 
2024-12-26,11506.96,Vanguard Trust 
2024-12-27,11506.96,Vanguard Trust 
2024-12-28,11506.96,Vanguard Trust 
2024-12-29,11506.96,Vanguard Trust 
2024-12-30,11506.96,Vanguard Trust 
2024-12-31,11506.96,Vanguard Trust 
2025-01-01,11512.01,Vanguard Trust 
2025-01-02,11550.66,Vanguard Trust 
2025-01-03,11550.66,Vanguard Trust 
2025-01-04,11550.66,Vanguard Trust 
2025-01-05,11550.66,Vanguard Trust 
2025-01-06,11550.66,Vanguard Trust 
2025-01-07,11550.66,Vanguard Trust 
2025-01-08,11550.66,Vanguard Trust 
2025-01-09,11550.66,Vanguard Trust 
2025-01-10,11550.66,Vanguard Trust 
2025-01-11,11550.66,Vanguard Trust 
2025-01-12,11550.66,Vanguard Trust 
2025-01-13,11550.66,Vanguard Trust 
2025-01-14,11550.66,Vanguard Trust 
2025-01-15,11550.66,Vanguard Trust 
2025-01-16,11550.66,Vanguard Trust 
2025-01-17,11550.66,Vanguard Trust 
2025-01-18,11550.66,Vanguard Trust 
2025-01-19,11550.66,Vanguard Trust 
2025-01-20,11550.66,Vanguard Trust 
2025-01-21,11550.66,Vanguard Trust 
2025-01-22,11550.66,Vanguard Trust 
2025-01-23,11550.66,Vanguard Trust 
2025-01-24,11550.66,Vanguard Trust 
2025-01-25,11550.66,Vanguard Trust 
2025-01-26,11550.66,Vanguard Trust 
2025-01-27,11550.66,Vanguard Trust 
2025-01-28,11550.66,Vanguard Trust 
2025-01-29,11550.66,Vanguard Trust 
2025-01-30,11550.66,Vanguard Trust 
2025-01-31,11550.66,Vanguard Trust 
2025-02-01,11555.65,Vanguard Trust 
2025-02-02,11555.65,Vanguard Trust 
2025-02-03,11592.97,Vanguard Trust 
2025-02-04,11592.97,Vanguard Trust 
2025-02-05,11592.97,Vanguard Trust 
2025-02-06,11592.97,Vanguard Trust 
2025-02-07,11592.97,Vanguard Trust 
2025-02-08,11592.97,Vanguard Trust 
2025-02-09,11592.97,Vanguard Trust 
2025-02-10,11592.97,Vanguard Trust 
2025-02-11,11592.97,Vanguard Trust 
2025-02-12,11592.97,Vanguard Trust 
2025-02-13,11592.97,Vanguard Trust 
2025-02-14,11592.97,Vanguard Trust 
2025-02-15,11592.97,Vanguard Trust 
2025-02-16,11592.97,Vanguard Trust 
2025-02-17,11592.97,Vanguard Trust 
2025-02-18,11592.97,Vanguard Trust 
2025-02-19,11592.97,Vanguard Trust 
2025-02-20,11592.97,Vanguard Trust 
2025-02-21,11592.97,Vanguard Trust 
2025-02-22,11592.97,Vanguard Trust 
2025-02-23,11592.97,Vanguard Trust 
2025-02-24,11592.97,Vanguard Trust 
2025-02-25,11592.97,Vanguard Trust 
2025-02-26,11592.97,Vanguard Trust 
2025-02-27,11592.97,Vanguard Trust 
2025-02-28,11592.97,Vanguard Trust 
2025-03-01,11597.58,Vanguard Trust 
2025-03-02,11597.58,Vanguard Trust 
2025-03-03,11630.89,Vanguard Trust 
2025-03-04,11630.89,Vanguard Trust 
2025-03-05,11630.89,Vanguard Trust 
2025-03-06,11630.89,Vanguard Trust 
2025-03-07,11630.89,Vanguard Trust 
2025-03-08,11630.89,Vanguard Trust 
2025-03-09,11630.89,Vanguard Trust 
2025-03-10,11630.89,Vanguard Trust 
2025-03-11,11630.89,Vanguard Trust 
2025-03-12,11630.89,Vanguard Trust 
2025-03-13,11630.89,Vanguard Trust 
2025-03-14,11630.89,Vanguard Trust 
2025-03-15,11630.89,Vanguard Trust 
2025-03-16,11630.89,Vanguard Trust 
2025-03-17,11630.89,Vanguard Trust 
2025-03-18,11630.89,Vanguard Trust 
2025-03-19,11630.89,Vanguard Trust 
2025-03-20,11630.89,Vanguard Trust 
2025-03-21,11630.89,Vanguard Trust 
2025-03-22,11630.89,Vanguard Trust 
2025-03-23,11630.89,Vanguard Trust 
2025-03-24,11630.89,Vanguard Trust 
2025-03-25,11630.89,Vanguard Trust 
2025-03-26,11630.89,Vanguard Trust 
2025-03-27,11630.89,Vanguard Trust 
2025-03-28,11630.89,Vanguard Trust 
2025-03-29,11630.89,Vanguard Trust 
2025-03-30,11630.89,Vanguard Trust 
2025-03-31,11630.89,Vanguard Trust 
2025-04-01,11672.83,Vanguard Trust 
2025-04-02,11672.83,Vanguard Trust 
2025-04-03,11672.83,Vanguard Trust 
2025-04-04,11672.83,Vanguard Trust 
2025-04-05,11672.83,Vanguard Trust 
2025-04-06,11672.83,Vanguard Trust 
2025-04-07,11672.83,Vanguard Trust 
2025-04-08,11672.83,Vanguard Trust 
2025-04-09,11672.83,Vanguard Trust 
2025-04-10,11672.83,Vanguard Trust 
2025-04-11,11672.83,Vanguard Trust 
2025-04-12,11672.83,Vanguard Trust 
2025-04-13,11672.83,Vanguard Trust 
2025-04-14,11672.83,Vanguard Trust 
2025-04-15,11672.83,Vanguard Trust 
2025-04-16,11672.83,Vanguard Trust 
2025-04-17,11672.83,Vanguard Trust 
2025-04-18,11672.83,Vanguard Trust 
2025-04-19,11672.83,Vanguard Trust 
2025-04-20,11672.83,Vanguard Trust 
2025-04-21,11672.83,Vanguard Trust 
2025-04-22,11672.83,Vanguard Trust 
2025-04-23,11672.83,Vanguard Trust 
2025-04-24,11672.83,Vanguard Trust 
2025-04-25,11672.83,Vanguard Trust 
2025-04-26,11672.83,Vanguard Trust 
2025-04-27,11672.83,Vanguard Trust 
2025-04-28,11672.83,Vanguard Trust 
2025-04-29,11672.83,Vanguard Trust 
2025-04-30,11672.83,Vanguard Trust 
2025-05-01,11713.40,Vanguard Trust 
2025-05-02,11713.40,Vanguard Trust 
2025-05-03,11713.40,Vanguard Trust 
2025-05-04,11713.40,Vanguard Trust 
2025-05-05,11713.40,Vanguard Trust 
2025-05-06,11713.40,Vanguard Trust 
2025-05-07,11713.40,Vanguard Trust 
2025-05-08,11713.40,Vanguard Trust 
2025-05-09,11713.40,Vanguard Trust 
2025-05-10,11713.40,Vanguard Trust 
2025-05-11,11713.40,Vanguard Trust 
2025-05-12,11713.40,Vanguard Trust 
2025-05-13,11713.40,Vanguard Trust 
2025-05-14,11713.40,Vanguard Trust 
2025-05-15,11713.40,Vanguard Trust 
2025-05-16,11713.40,Vanguard Trust 
2025-05-17,11713.40,Vanguard Trust 
2025-05-18,11713.40,Vanguard Trust 
2025-05-19,11713.40,Vanguard Trust 
2025-05-20,11863.40,Vanguard Trust 
2025-05-21,11863.40,Vanguard Trust 
2025-05-22,11863.40,Vanguard Trust 
2025-05-23,11863.40,Vanguard Trust 
2025-05-24,11863.40,Vanguard Trust 
2025-05-25,11863.40,Vanguard Trust 
2025-05-26,11863.40,Vanguard Trust 
2025-05-27,11863.40,Vanguard Trust 
2025-05-28,11863.40,Vanguard Trust 
2025-05-29,11863.40,Vanguard Trust 
2025-05-30,11863.40,Vanguard Trust 
2025-05-31,11863.40,Vanguard Trust 
2025-06-01,11869.12,Vanguard Trust 
2025-06-02,11905.68,Vanguard Trust 
2025-06-03,11905.68,Vanguard Trust 
2025-06-04,11905.68,Vanguard Trust 
2025-06-05,11905.68,Vanguard Trust 
2025-06-06,11905.68,Vanguard Trust 
2025-06-07,11905.68,Vanguard Trust 
2025-06-08,11905.68,Vanguard Trust 
2025-06-09,11905.68,Vanguard Trust 
2025-06-10,11905.68,Vanguard Trust 
2025-06-11,11905.68,Vanguard Trust 
2025-06-12,11905.68,Vanguard Trust 
2025-06-13,11905.68,Vanguard Trust 
2025-06-14,11905.68,Vanguard Trust 
2025-06-15,11905.68,Vanguard Trust 
2025-06-16,11905.68,Vanguard Trust 
2025-06-17,11905.68,Vanguard Trust 
2025-06-18,11905.68,Vanguard Trust 
2025-06-19,11905.68,Vanguard Trust 
2025-06-20,11905.68,Vanguard Trust 
2025-06-21,11905.68,Vanguard Trust 
2025-06-22,11905.68,Vanguard Trust 
2025-06-23,11905.68,Vanguard Trust 
2025-06-24,11905.68,Vanguard Trust 
2025-06-25,11905.68,Vanguard Trust 
2025-06-26,11905.68,Vanguard Trust 
2025-06-27,11905.68,Vanguard Trust 
2025-06-28,11905.68,Vanguard Trust 
2025-06-29,11905.68,Vanguard Trust 
2025-06-30,11905.68,Vanguard Trust 
2025-07-01,11946.90,Vanguard Trust 
2025-07-02,11946.90,Vanguard Trust 
2025-07-03,11946.90,Vanguard Trust 
2025-07-04,11946.90,Vanguard Trust 
2025-07-05,11946.90,Vanguard Trust 
2025-07-06,11946.90,Vanguard Trust 
2025-07-07,11946.90,Vanguard Trust 
2025-07-08,11946.90,Vanguard Trust 
2025-07-09,11946.90,Vanguard Trust 
2025-07-10,11946.90,Vanguard Trust 
2025-07-11,11946.90,Vanguard Trust 
2025-07-12,11946.90,Vanguard Trust 
2025-07-13,11946.90,Vanguard Trust 
2025-07-14,11946.90,Vanguard Trust 
2025-07-15,11946.90,Vanguard Trust 
2025-07-16,11946.90,Vanguard Trust 
2025-07-17,11946.90,Vanguard Trust 
2025-07-18,11946.90,Vanguard Trust 
2025-07-19,11946.90,Vanguard Trust 
2025-07-20,11946.90,Vanguard Trust 
2025-07-21,11946.90,Vanguard Trust 
2025-07-22,11946.90,Vanguard Trust 
2025-07-23,11946.90,Vanguard Trust 
2025-07-24,11946.90,Vanguard Trust 
2025-07-25,11946.90,Vanguard Trust 
2025-07-26,11946.90,Vanguard Trust 
2025-07-27,1013863.03,Vanguard Trust 
2025-07-28,1006509.40,Vanguard Trust 
2025-07-29,1005472.05,Vanguard Trust 
2025-07-30,1000732.16,Vanguard Trust 
2025-07-31,994251.55,Vanguard Trust 
2025-08-01,985601.84,Vanguard Trust 
2025-08-02,985601.84,Vanguard Trust 
2025-08-03,985601.84,Vanguard Trust 
2025-08-04,998934.79,Vanguard Trust 
2025-08-05,998644.22,Vanguard Trust 
2025-08-06,998644.22,Vanguard Trust 
2025-08-07,1005161.56,Vanguard Trust 
2025-08-08,1009116.47,Vanguard Trust 
2025-08-09,1013618.87,Vanguard Trust 
2025-08-10,1013618.87,Vanguard Trust 
2025-08-11,1013618.87,Vanguard Trust 
2025-08-12,1010829.00,Vanguard Trust 
2025-08-13,1022384.92,Vanguard Trust 
2025-08-14,1028250.54,Vanguard Trust 
2025-08-15,1024950.76,Vanguard Trust 
2025-08-16,1026687.52,Vanguard Trust 
2025-08-17,1026687.52,Vanguard Trust 
2025-08-18,1027683.40,Vanguard Trust 
2025-08-19,1027683.40,Vanguard Trust 
2025-08-20,1023568.84,Vanguard Trust 
2025-08-21,1023233.10,Vanguard Trust 
2025-08-22,1019551.24,Vanguard Trust 
2025-08-23,1036394.12,Vanguard Trust 
2025-08-24,1036394.12,Vanguard Trust 
2025-08-25,1036394.12,Vanguard Trust 
2025-08-26,1028516.65,Vanguard Trust 
2025-08-27,1030072.73,Vanguard Trust 
2025-08-28,1033383.42,Vanguard Trust 
2025-08-29,1033383.42,Vanguard Trust 
2025-08-30,1028211.84,Vanguard Trust 
2025-08-31,1028211.84,Vanguard Trust 
2025-09-01,1028211.84,Vanguard Trust 
2025-09-02,1028211.84,Vanguard Trust 
2025-09-03,1024171.83,Vanguard Trust 
2025-09-04,1030293.64,Vanguard Trust 
2025-09-05,1030293.64,Vanguard Trust 
2025-09-06,1033416.63,Vanguard Trust 
2025-09-07,1033416.63,Vanguard Trust 
2025-09-08,1033416.63,Vanguard Trust 
2025-09-09,1040582.33,Vanguard Trust 
2025-09-10,1040366.41,Vanguard Trust 
2025-09-11,1042533.19,Vanguard Trust 
2025-09-12,1053321.11,Vanguard Trust 
2025-09-13,1050691.94,Vanguard Trust 
2025-09-14,1050691.94,Vanguard Trust 
2025-09-15,1057545.33,Vanguard Trust 
2025-09-16,1057545.33,Vanguard Trust 
2025-09-17,1057470.37,Vanguard Trust 
2025-09-18,1056670.33,Vanguard Trust 
2025-09-19,1059865.90,Vanguard Trust 
2025-09-20,1056368.03,Vanguard Trust 
2025-09-21,1056368.03,Vanguard Trust 
2025-09-22,1056368.03,Vanguard Trust 
2025-09-23,1060915.60,Vanguard Trust 
2025-09-24,1055587.05,Vanguard Trust 
2025-09-25,1049767.77,Vanguard Trust 
